keyword,score
00,0.2578483140393151
285,0.2210128406051272
285 00,0.2210128406051272
shine,0.18417736717093933
polish,0.14734189373675147
waxpol,0.14734189373675147
00 285,0.1105064203025636
460,0.1105064203025636
gloss,0.1105064203025636
paint,0.1105064203025636
protection,0.1105064203025636
silky,0.1105064203025636
wipe,0.1105064203025636
00 subtotal,0.07367094686837573
10,0.07367094686837573
300,0.07367094686837573
application,0.07367094686837573
apply,0.07367094686837573
car,0.07367094686837573
checkout,0.07367094686837573
coats,0.07367094686837573
coats apply,0.07367094686837573
cost,0.07367094686837573
cost delivery,0.07367094686837573
date,0.07367094686837573
date order,0.07367094686837573
delivery,0.07367094686837573
delivery date,0.07367094686837573
high,0.07367094686837573
high gloss,0.07367094686837573
hydrophobic,0.07367094686837573
includes,0.07367094686837573
including,0.07367094686837573
including tax,0.07367094686837573
industries,0.07367094686837573
initial,0.07367094686837573
instant,0.07367094686837573
instant shine,0.07367094686837573
item,0.07367094686837573
minutes,0.07367094686837573
options,0.07367094686837573
order,0.07367094686837573
order total,0.07367094686837573
payment,0.07367094686837573
polishing,0.07367094686837573
product,0.07367094686837573
quick,0.07367094686837573
safe,0.07367094686837573
selected,0.07367094686837573
selected options,0.07367094686837573
shipping,0.07367094686837573
shipping cost,0.07367094686837573
shown,0.07367094686837573
shown checkout,0.07367094686837573
silky smooth,0.07367094686837573
smooth,0.07367094686837573
spray,0.07367094686837573
spray polish,0.07367094686837573
subtotal,0.07367094686837573
surface,0.07367094686837573
