keyword,score
00,0.2574991624721984
269,0.22071356783331292
269 00,0.22071356783331292
finish,0.1839279731944274
tyre,0.1839279731944274
car,0.14714237855554194
gel,0.14714237855554194
look,0.14714237855554194
shine,0.14714237855554194
00 269,0.11035678391665646
899,0.11035678391665646
achieve,0.11035678391665646
glossy,0.11035678391665646
glossy finish,0.11035678391665646
including,0.11035678391665646
money,0.11035678391665646
provides,0.11035678391665646
tyres,0.11035678391665646
00 subtotal,0.07357118927777097
500ml,0.07357118927777097
auto,0.07357118927777097
auto spa,0.07357118927777097
black,0.07357118927777097
checkout,0.07357118927777097
cost,0.07357118927777097
cost delivery,0.07357118927777097
date,0.07357118927777097
date order,0.07357118927777097
delivery,0.07357118927777097
delivery date,0.07357118927777097
enhances,0.07357118927777097
greasy,0.07357118927777097
includes,0.07357118927777097
including tax,0.07357118927777097
initial,0.07357118927777097
long,0.07357118927777097
options,0.07357118927777097
order,0.07357118927777097
order total,0.07357118927777097
payment,0.07357118927777097
polish,0.07357118927777097
selected,0.07357118927777097
selected options,0.07357118927777097
shiny,0.07357118927777097
shipping,0.07357118927777097
shipping cost,0.07357118927777097
shown,0.07357118927777097
shown checkout,0.07357118927777097
spa,0.07357118927777097
subtotal,0.07357118927777097
tax,0.07357118927777097
tax shown,0.07357118927777097
time,0.07357118927777097
tire,0.07357118927777097
total,0.07357118927777097
total including,0.07357118927777097
tyre gel,0.07357118927777097
ultimate,0.07357118927777097
use,0.07357118927777097
uv,0.07357118927777097
