keyword,score
00,0.25112360116696136
220,0.21524880100025257
220 00,0.21524880100025257
polish,0.21524880100025257
application,0.14349920066683505
shine,0.14349920066683505
00 220,0.10762440050012628
232,0.10762440050012628
delivery,0.10762440050012628
extra,0.10762440050012628
long,0.10762440050012628
rubber,0.10762440050012628
scooter,0.10762440050012628
00 subtotal,0.07174960033341753
24,0.07174960033341753
amazon,0.07174960033341753
better,0.07174960033341753
bright,0.07174960033341753
bright shine,0.07174960033341753
buff,0.07174960033341753
car,0.07174960033341753
checkout,0.07174960033341753
cost,0.07174960033341753
cost delivery,0.07174960033341753
customer,0.07174960033341753
date,0.07174960033341753
date order,0.07174960033341753
delivery date,0.07174960033341753
ease,0.07174960033341753
easy,0.07174960033341753
easy application,0.07174960033341753
extra bright,0.07174960033341753
fine,0.07174960033341753
gives,0.07174960033341753
gives extra,0.07174960033341753
gloss,0.07174960033341753
grit,0.07174960033341753
high,0.07174960033341753
high gloss,0.07174960033341753
highly,0.07174960033341753
includes,0.07174960033341753
including,0.07174960033341753
including tax,0.07174960033341753
initial,0.07174960033341753
lasting,0.07174960033341753
long lasting,0.07174960033341753
material,0.07174960033341753
material rubber,0.07174960033341753
options,0.07174960033341753
order,0.07174960033341753
order total,0.07174960033341753
payment,0.07174960033341753
product,0.07174960033341753
purpose,0.07174960033341753
recommend,0.07174960033341753
selected,0.07174960033341753
selected options,0.07174960033341753
sheeba,0.07174960033341753
shipping,0.07174960033341753
shipping cost,0.07174960033341753
