keyword,score
tyre,0.44204967370253523
car,0.35363973896202816
polish,0.3094347715917747
tyre polish,0.2873322879066479
wavex,0.19892235316614085
00,0.15471738579588734
polish car,0.15471738579588734
tyres,0.15471738579588734
653,0.13261490211076057
653 00,0.13261490211076057
car tyres,0.13261490211076057
wavex tyre,0.13261490211076057
black,0.11051241842563381
guard,0.11051241842563381
guard tyre,0.11051241842563381
shine,0.11051241842563381
tyre guard,0.11051241842563381
00 653,0.06630745105538029
152,0.06630745105538029
black shine,0.06630745105538029
car tyre,0.06630745105538029
long,0.06630745105538029
water,0.06630745105538029
00 subtotal,0.04420496737025352
amazing,0.04420496737025352
applicator,0.04420496737025352
brand,0.04420496737025352
checkout,0.04420496737025352
cost,0.04420496737025352
cost delivery,0.04420496737025352
couple,0.04420496737025352
cracking,0.04420496737025352
dark,0.04420496737025352
date,0.04420496737025352
date order,0.04420496737025352
delivery,0.04420496737025352
delivery date,0.04420496737025352
dust,0.04420496737025352
easy,0.04420496737025352
easy use,0.04420496737025352
hydrophobic,0.04420496737025352
includes,0.04420496737025352
including,0.04420496737025352
including tax,0.04420496737025352
initial,0.04420496737025352
item,0.04420496737025352
just,0.04420496737025352
lasting,0.04420496737025352
like,0.04420496737025352
long lasting,0.04420496737025352
microfiber,0.04420496737025352
new,0.04420496737025352
non,0.04420496737025352
options,0.04420496737025352
order,0.04420496737025352
order total,0.04420496737025352
payment,0.04420496737025352
plastic,0.04420496737025352
selected,0.04420496737025352
selected options,0.04420496737025352
