keyword,score
tyre,0.4418338818060039
car,0.35346710544480314
polish,0.30928371726420273
tyre polish,0.2871920231739025
wavex,0.19882524681270175
00,0.15464185863210136
polish car,0.15464185863210136
tyres,0.15464185863210136
337,0.13255016454180116
337 00,0.13255016454180116
car tyres,0.13255016454180116
wavex tyre,0.13255016454180116
black,0.11045847045150098
guard,0.11045847045150098
guard tyre,0.11045847045150098
shine,0.11045847045150098
tyre guard,0.11045847045150098
00 337,0.06627508227090058
531,0.06627508227090058
black shine,0.06627508227090058
car tyre,0.06627508227090058
long,0.06627508227090058
water,0.06627508227090058
00 subtotal,0.04418338818060039
amazing,0.04418338818060039
applicator,0.04418338818060039
brand,0.04418338818060039
checkout,0.04418338818060039
cost,0.04418338818060039
cost delivery,0.04418338818060039
couple,0.04418338818060039
cracking,0.04418338818060039
dark,0.04418338818060039
date,0.04418338818060039
date order,0.04418338818060039
delivery,0.04418338818060039
delivery date,0.04418338818060039
dust,0.04418338818060039
easy,0.04418338818060039
easy use,0.04418338818060039
foam,0.04418338818060039
grit,0.04418338818060039
hydrophobic,0.04418338818060039
includes,0.04418338818060039
including,0.04418338818060039
including tax,0.04418338818060039
initial,0.04418338818060039
just,0.04418338818060039
lasting,0.04418338818060039
like,0.04418338818060039
long lasting,0.04418338818060039
material,0.04418338818060039
new,0.04418338818060039
options,0.04418338818060039
order,0.04418338818060039
order total,0.04418338818060039
payment,0.04418338818060039
plastic,0.04418338818060039
rubber,0.04418338818060039
selected,0.04418338818060039
