keyword,score
00,0.3595732599803958
550,0.26967994498529685
550 00,0.26967994498529685
00 550,0.13483997249264842
899,0.13483997249264842
shine,0.13483997249264842
00 subtotal,0.08989331499509895
amazon,0.08989331499509895
checkout,0.08989331499509895
cleans,0.08989331499509895
cleans shines,0.08989331499509895
cost,0.08989331499509895
cost delivery,0.08989331499509895
date,0.08989331499509895
date order,0.08989331499509895
delivery,0.08989331499509895
delivery date,0.08989331499509895
formula,0.08989331499509895
formula cleans,0.08989331499509895
greasy,0.08989331499509895
greasy formula,0.08989331499509895
includes,0.08989331499509895
including,0.08989331499509895
including tax,0.08989331499509895
initial,0.08989331499509895
natural,0.08989331499509895
non,0.08989331499509895
non greasy,0.08989331499509895
options,0.08989331499509895
order,0.08989331499509895
order total,0.08989331499509895
payment,0.08989331499509895
protects,0.08989331499509895
selected,0.08989331499509895
selected options,0.08989331499509895
shines,0.08989331499509895
shines protects,0.08989331499509895
shipping,0.08989331499509895
shipping cost,0.08989331499509895
shown,0.08989331499509895
shown checkout,0.08989331499509895
stars,0.08989331499509895
subtotal,0.08989331499509895
tax,0.08989331499509895
tax shown,0.08989331499509895
total,0.08989331499509895
total including,0.08989331499509895
uv,0.08989331499509895
00 899,0.044946657497549475
00 customers,0.044946657497549475
00 includes,0.044946657497549475
12,0.044946657497549475
12 40cm,0.044946657497549475
222,0.044946657497549475
222 gsm,0.044946657497549475
30cm,0.044946657497549475
30cm ultra,0.044946657497549475
349,0.044946657497549475
349 00,0.044946657497549475
3m,0.044946657497549475
